,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2612,85783119,301211.XSHE,43.125,1.8041,2.2384,8.901,2.6652,24000.0,48.768,5790.2919999999995,11.7659,2022-08-16,40.089
2613,85781590,301212.XSHE,46.9065,3.3226,3.1747,4.3013,55.5663,10800.0,36.4608,2560.7251,8.645,2022-08-16,41.18899999999999
2614,85783873,301213.XSHE,58.2436,7.766,4.4716,23.1986,6.5622,8000.0,35.32,2000.0,8.83,2022-08-16,60.5926
2615,85783971,301215.XSHE,81.8835,2.8476,3.2712,28.3162,7.9053,132240.0,85.1626,25856.9668,16.6519,2022-08-16,82.5483
2616,85782360,301216.XSHE,20.4808,16.7855,2.4436,1.0346,3.8079,34339.5391,120.3601,7149.8735,25.0603,2022-08-16,27.2367
2617,85780099,301217.XSHE,33.8175,5.7239,2.421,3.2012,7.7793,82901.5547,132.6425,20312.9746,32.5008,2022-08-16,36.0929
2618,85783451,301218.XSHE,46.4018,6.212999999999999,3.4021,5.3734,5.178999999999999,11404.0,29.5478,2851.0,7.3869,2022-08-16,49.2483
2619,85783233,301219.XSHE,18.8508,20.6743,2.9137,5.0715,4.8051,22670.5527,247.109,4350.1831,47.417,2022-08-16,21.4842
2620,85780580,301220.XSHE,30.3307,4.5501,2.2182,4.7286,73.5605,8080.0,31.8514,1810.0397,7.1352,2022-08-16,34.8404
2621,85780471,301221.XSHE,96.4606,10.802999999999999,3.234,14.1673,4.6824,9262.2305,62.835,2254.321,15.2933,2022-08-16,85.7708
2622,85781406,301222.XSHE,37.8428,9.8078,2.9935,6.059,4.2123,10133.3398,34.6054,2402.6013,8.2049,2022-08-16,38.5899
2623,85779862,301226.XSHE,41.2711,16.0224,3.1453,3.7030000000000003,5.8774,6800.0,26.8532,1700.0,6.7133,2022-08-16,42.996
2624,85779846,301228.XSHE,62.3827,3.3214,2.6701,5.8152,23.31,12000.0,24.372,2765.7295,5.6172,2022-08-16,48.3263
2625,85783932,301229.XSHE,92.8991,12.8068,4.2148,5.6553,22.0071,8000.0,31.592,2000.0,7.898,2022-08-16,60.1603
2626,85781432,301233.XSHE,41.0518,16.6973,2.97,7.9242,309.6336,5147.0,24.5872,1220.4589,5.8301,2022-08-16,37.558
2627,85784134,301234.XSHE,33.4265,5.6835,3.4854,4.3498,-89.8099,6800.0,23.188000000000002,1700.0,5.797000000000001,2022-08-16,33.9044
2628,85783141,301235.XSHE,54.0731,3.2560000000000002,2.975,4.9602,15.5269,10560.0,45.2918,2496.6997,10.7083,2022-08-16,55.6674
2629,85781792,301236.XSHE,22.0985,4.373,2.234,1.2184,5.3459,63529.4102,212.5694,7718.1689,25.825,2022-08-16,22.4994
2630,85781893,301237.XSHE,31.7783,5.1008,2.5096,5.5714,3.6184,8000.0,36.736,1896.7614,8.7099,2022-08-16,29.6988
2631,85783124,301238.XSHE,31.7911,9.4504,4.1313,4.0119,-600.911,73333.3281,257.18,14477.1055,50.7712,2022-08-16,42.6969
2632,85782434,301239.XSHE,89.34700000000001,6.2337,4.3835,5.1023,-57.2506,14961.9053,91.3574,3547.5840000000003,21.6615,2022-08-16,97.3033
2633,85781465,301248.XSHE,30.2796,13.8802,2.2356,3.3352,5.5553,10247.0,34.7168,2318.4514,7.8549,2022-08-16,33.016
2634,85782634,301256.XSHE,58.1998,14.4429,3.2060000000000004,6.6754,5.2605,48000.0,51.023999999999994,11267.7344,11.9776,2022-08-16,50.0843
2635,85781120,301257.XSHE,65.3506,3.9447,4.3431,7.1654,291.8796,6000.0,37.74,1500.0,9.435,2022-08-16,65.3291
2636,85782038,301258.XSHE,31.9236,9.2517,2.4316,7.7558,3.6985,9167.0,42.5349,2173.5884,10.0854,2022-08-16,35.3863
2637,85784344,301259.XSHE,44.6317,4.5489999999999995,3.5249,5.9132,1270.3644,12000.0,30.72,2845.2466,7.2838,2022-08-16,43.4847
2638,85779839,301263.XSHE,39.683,5.8655,3.5852,8.9185,5.4027,23638.75,62.1463,5087.5195,13.3751,2022-08-16,51.7601
2639,85781773,301266.XSHE,99.7911,11.3878,5.5973,5.093999999999999,121.4405,10400.0,72.8,2465.8193,17.2607,2022-08-16,94.2011
2640,85783432,301268.XSHE,132.3795,20.7002,11.9726,11.2527,21.85,40001.0,230.0058,3380.562,19.4382,2022-08-16,155.2183
2641,85782625,301269.XSHE,425.3406,28.4893,15.1655,102.8561,883.1384,54294.1758,678.7858,7343.5562,91.8091,2022-08-16,487.2627
2642,85779738,301278.XSHE,90.8959,28.4646,7.4828,7.8607,238.84900000000002,6400.0,67.6864,1600.0,16.9216,2022-08-16,104.3722
2643,85783321,301279.XSHE,33.66,7.1462,2.1698,4.1294,-62.975,10000.0,27.17,2198.5083,5.9733,2022-08-16,34.1538
2644,85780009,301286.XSHE,56.1652,3.4693,5.7410000000000005,10.0416,-497.3197,40010.0,84.061,3380.6582,7.1028,2022-08-16,46.5647
2645,85781595,301288.XSHE,36.0134,7.6049,3.2416,12.6484,3112.9341,10801.0,25.944000000000003,2351.6089,5.6486,2022-08-16,36.533
2646,85782318,301289.XSHE,40.5786,6.4345,3.398,13.2425,285.6287,6000.0,28.541999999999998,1500.0,7.1355,2022-08-16,38.984
2647,85780992,301298.XSHE,64.2714,17.2219,4.2623,7.3324,-183.1249,14680.0,36.2156,3490.2527,8.6105,2022-08-16,61.6298
2648,85784448,301302.XSHE,58.5284,4.3369,3.1206,9.8876,504.2444,10547.0,68.6188,2500.8901,16.2708,2022-08-16,58.1164
2649,85779714,301306.XSHE,65.608,11.6359,3.6735,17.0827,570.493,8440.0,43.1622,2001.0027,10.2331,2022-08-16,64.4063
2650,85781987,301308.XSHE,36.4125,23.4567,5.2715,3.679,170.391,41286.4258,353.4118,3158.1538,27.0338,2022-08-16,34.8861
2651,85781308,301312.XSHE,47.2591,17.3819,5.7628,10.3965,-86002.5859,4094.2761,59.4489,1023.5691,14.8622,2022-08-16,51.7188
2652,85782150,301318.XSHE,30.6935,18.5249,2.6866,7.3308,-44.8097,6941.2002,43.563,1646.1456,10.3312,2022-08-16,29.0986
